Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Ambulances Again,"Item Paramedic's GPhone X",1,17,39,"(105.1, -2.1, 55.6)"
Glory to CPSU - Part 2,"Zone quest_zone_find_2st_kpss2",1,22,48,"(246.3, -1.2, 52.4)"
Glory to CPSU - Part 2,"Item Journal",1,22,48,"(248.7, -1.2, 57.2)"
Beyond the Red Meat - Part 1,"Item Chef's diary",1,22,48,"(-40.8, 5.4, -43.0)"
Pets Won't Need It - Part 1,"Zone quest_zone_find_2st_med_invent1",1,12,29,"(224.9, 4.0, 172.8)"
Pets Won't Need It - Part 1,"Zone quest_zone_find_2st_med_invent2",1,12,29,"(183.0, 1.8, 102.0)"
Pyramid Scheme,"Zone Bank_points_6",1,28,57,"(279.0, 3.4, 370.0)"
Pyramid Scheme,"Zone Bank_points_1",1,28,57,"(97.1, 0.3, -22.1)"
Pyramid Scheme,"Zone Bank_points_2",1,28,57,"(82.6, 0.3, -30.5)"
Pyramid Scheme,"Zone Bank_points_8",1,28,57,"(-160.1, 0.6, -47.6)"
Pyramid Scheme,"Zone Bank_points_9",1,28,57,"(-148.6, 5.1, -63.0)"
Pyramid Scheme,"Zone Bank_points_10",1,28,57,"(-35.1, 0.6, -69.7)"
Pyramid Scheme,"Zone Bank_points_13",1,28,57,"(-53.6, 0.6, -69.8)"
Pyramid Scheme,"Zone Bank_points_11",1,28,57,"(-114.1, 0.6, -12.4)"
Pyramid Scheme,"Zone Bank_points_12",1,28,57,"(-166.4, 0.7, -3.4)"
Pyramid Scheme,"Zone Bank_points_5",1,28,57,"(54.6, 2.8, 235.1)"
Pyramid Scheme,"Zone Bank_points_14",1,28,57,"(0.4, -3.7, -18.6)"
Pyramid Scheme,"Zone Bank_points_15",1,28,57,"(8.3, -3.7, 4.8)"
Developer's Secrets - Part 1,"Zone Office_enter",1,25,53,"(163.9, 1.2, 148.6)"
Developer's Secrets - Part 2,"Zone Hookah_quest",1,25,53,"(-211.5, 3.2, 297.7)"
Pets Won't Need It - Part 2,"Zone Pharma_1",1,12,29,"(39.3, 2.7, 162.4)"
Pets Won't Need It - Part 2,"Zone Pharma_2",1,12,29,"(-44.6, 3.3, 336.1)"
Dandies,"Zone quest_zone_hide_barber1",2,33,66,"(206.6, 3.6, 411.8)"
Dandies,"Zone quest_zone_hide_barber2",2,33,66,"(214.3, 3.4, 409.3)"
Spawn Point Wander,"Spawn Point (142.9 6.7 361.2)",1,0,99,"(142.9, 6.7, 361.2)"
Spawn Point Wander,"Spawn Point (203.8 1.2 190.7)",1,0,99,"(203.8, 1.2, 190.7)"
Spawn Point Wander,"Spawn Point (204.7 3.5 404.3)",1,0,99,"(204.7, 3.5, 404.3)"
Spawn Point Wander,"Spawn Point (63.7 0.3 -55.2)",1,0,99,"(63.7, 0.3, -55.2)"
Spawn Point Wander,"Spawn Point (-133.3 0.6 -26.7)",1,0,99,"(-133.3, 0.6, -26.7)"
Spawn Point Wander,"Spawn Point (39.3 2.8 200.4)",1,0,99,"(39.3, 2.8, 200.4)"
Spawn Point Wander,"Spawn Point (204.6 6.9 297.1)",1,0,99,"(204.6, 6.9, 297.1)"
Spawn Point Wander,"Spawn Point (172.0 0.5 153.2)",1,0,99,"(172.0, 0.5, 153.2)"
Spawn Point Wander,"Spawn Point (-178.5 2.5 415.0)",1,0,99,"(-178.5, 2.5, 415.0)"
Spawn Point Wander,"Spawn Point (184.8 2.5 187.0)",1,0,99,"(184.8, 2.5, 187.0)"
Spawn Point Wander,"Spawn Point (58.9 2.7 324.2)",1,0,99,"(58.9, 2.7, 324.2)"
Spawn Point Wander,"Spawn Point (232.6 3.5 409.5)",1,0,99,"(232.6, 3.5, 409.5)"
Spawn Point Wander,"Spawn Point (271.1 3.5 374.0)",1,0,99,"(271.1, 3.5, 374.0)"
Spawn Point Wander,"Spawn Point (-134.8 3.1 399.6)",1,0,99,"(-134.8, 3.1, 399.6)"
Spawn Point Wander,"Spawn Point (-163.9 3.2 183.1)",1,0,99,"(-163.9, 3.2, 183.1)"
Spawn Point Wander,"Spawn Point (-164.6 2.3 291.6)",1,0,99,"(-164.6, 2.3, 291.6)"
Spawn Point Wander,"Spawn Point (39.2 2.9 222.3)",1,0,99,"(39.2, 2.9, 222.3)"
Spawn Point Wander,"Spawn Point (269.5 -1.2 379.6)",1,0,99,"(269.5, -1.2, 379.6)"
Spawn Point Wander,"Spawn Point (-50.2 5.2 -31.7)",1,0,99,"(-50.2, 5.2, -31.7)"
Spawn Point Wander,"Spawn Point (-84.3 1.5 177.9)",1,0,99,"(-84.3, 1.5, 177.9)"
Spawn Point Wander,"Spawn Point (224.6 0.5 182.2)",1,0,99,"(224.6, 0.5, 182.2)"
Spawn Point Wander,"Spawn Point (-147.8 14.9 -7.2)",1,0,99,"(-147.8, 14.9, -7.2)"
Spawn Point Wander,"Spawn Point (101.0 2.7 271.2)",1,0,99,"(101.0, 2.7, 271.2)"
Spawn Point Wander,"Spawn Point (211.1 -1.2 341.6)",1,0,99,"(211.1, -1.2, 341.6)"
Spawn Point Wander,"Spawn Point (226.8 0.5 218.9)",1,0,99,"(226.8, 0.5, 218.9)"
Spawn Point Wander,"Spawn Point (-232.0 2.3 345.0)",1,0,99,"(-232.0, 2.3, 345.0)"
Spawn Point Wander,"Spawn Point (228.8 0.7 173.6)",1,0,99,"(228.8, 0.7, 173.6)"
Spawn Point Wander,"Spawn Point (236.8 0.5 216.9)",1,0,99,"(236.8, 0.5, 216.9)"
Spawn Point Wander,"Spawn Point (39.0 2.8 203.4)",1,0,99,"(39.0, 2.8, 203.4)"
Spawn Point Wander,"Spawn Point (-74.7 0.9 75.2)",1,0,99,"(-74.7, 0.9, 75.2)"
Spawn Point Wander,"Spawn Point (-76.4 0.9 76.5)",1,0,99,"(-76.4, 0.9, 76.5)"
Spawn Point Wander,"Spawn Point (-47.5 0.6 -67.7)",1,0,99,"(-47.5, 0.6, -67.7)"
Spawn Point Wander,"Spawn Point (215.3 3.4 331.6)",1,0,99,"(215.3, 3.4, 331.6)"
Spawn Point Wander,"Spawn Point (208.6 3.9 296.6)",1,0,99,"(208.6, 3.9, 296.6)"
Spawn Point Wander,"Spawn Point (210.0 -1.2 341.7)",1,0,99,"(210.0, -1.2, 341.7)"
Spawn Point Wander,"Spawn Point (-227.3 5.3 277.3)",1,0,99,"(-227.3, 5.3, 277.3)"
Spawn Point Wander,"Spawn Point (-132.9 14.9 -10.4)",1,0,99,"(-132.9, 14.9, -10.4)"
Spawn Point Wander,"Spawn Point (-136.9 2.6 399.6)",1,0,99,"(-136.9, 2.6, 399.6)"
Spawn Point Wander,"Spawn Point (-158.9 0.7 -27.8)",1,0,99,"(-158.9, 0.7, -27.8)"
Spawn Point Wander,"Spawn Point (214.9 -4.5 30.4)",1,0,99,"(214.9, -4.5, 30.4)"
Spawn Point Wander,"Spawn Point (-96.6 0.9 83.2)",1,0,99,"(-96.6, 0.9, 83.2)"
Spawn Point Wander,"Spawn Point (228.4 0.6 171.4)",1,0,99,"(228.4, 0.6, 171.4)"
Spawn Point Wander,"Spawn Point (60.7 0.5 169.5)",1,0,99,"(60.7, 0.5, 169.5)"
Spawn Point Wander,"Spawn Point (-170.3 2.3 287.4)",1,0,99,"(-170.3, 2.3, 287.4)"
Spawn Point Wander,"Spawn Point (221.2 0.6 170.9)",1,0,99,"(221.2, 0.6, 170.9)"
Spawn Point Wander,"Spawn Point (85.8 5.4 348.5)",1,0,99,"(85.8, 5.4, 348.5)"
Spawn Point Wander,"Spawn Point (235.6 0.5 213.8)",1,0,99,"(235.6, 0.5, 213.8)"
Spawn Point Wander,"Spawn Point (256.0 -1.2 357.7)",1,0,99,"(256.0, -1.2, 357.7)"
Spawn Point Wander,"Spawn Point (138.0 -1.4 -55.1)",1,0,99,"(138.0, -1.4, -55.1)"
Spawn Point Wander,"Spawn Point (76.4 -0.6 86.2)",1,0,99,"(76.4, -0.6, 86.2)"
Spawn Point Wander,"Spawn Point (55.0 11.9 297.4)",1,0,99,"(55.0, 11.9, 297.4)"
Spawn Point Wander,"Spawn Point (-189.9 8.8 421.7)",1,0,99,"(-189.9, 8.8, 421.7)"
Spawn Point Wander,"Spawn Point (-134.5 2.5 399.6)",1,0,99,"(-134.5, 2.5, 399.6)"
Spawn Point Wander,"Spawn Point (-176.8 1.2 105.2)",1,0,99,"(-176.8, 1.2, 105.2)"
Spawn Point Wander,"Spawn Point (-86.0 1.5 178.0)",1,0,99,"(-86.0, 1.5, 178.0)"
Spawn Point Wander,"Spawn Point (71.8 2.7 266.4)",1,0,99,"(71.8, 2.7, 266.4)"
Spawn Point Wander,"Spawn Point (164.6 0.5 138.1)",1,0,99,"(164.6, 0.5, 138.1)"
Spawn Point Wander,"Spawn Point (-205.1 3.4 182.1)",1,0,99,"(-205.1, 3.4, 182.1)"
Spawn Point Wander,"Spawn Point (187.1 1.6 189.6)",1,0,99,"(187.1, 1.6, 189.6)"
Spawn Point Wander,"Spawn Point (214.8 3.4 329.9)",1,0,99,"(214.8, 3.4, 329.9)"
Spawn Point Wander,"Spawn Point (-179.3 2.5 416.4)",1,0,99,"(-179.3, 2.5, 416.4)"
Spawn Point Wander,"Spawn Point (261.5 -5.9 50.0)",1,0,99,"(261.5, -5.9, 50.0)"
Spawn Point Wander,"Spawn Point (-16.9 2.6 242.3)",1,0,99,"(-16.9, 2.6, 242.3)"
Spawn Point Wander,"Spawn Point (-70.7 1.5 154.2)",1,0,99,"(-70.7, 1.5, 154.2)"
Spawn Point Wander,"Spawn Point (271.4 -1.2 376.3)",1,0,99,"(271.4, -1.2, 376.3)"
Spawn Point Wander,"Spawn Point (-258.3 2.9 140.8)",1,0,99,"(-258.3, 2.9, 140.8)"
Spawn Point Wander,"Spawn Point (-111.7 0.7 -28.4)",1,0,99,"(-111.7, 0.7, -28.4)"
Spawn Point Wander,"Spawn Point (-203.6 3.4 180.8)",1,0,99,"(-203.6, 3.4, 180.8)"
Spawn Point Wander,"Spawn Point (-192.3 3.1 345.7)",1,0,99,"(-192.3, 3.1, 345.7)"
Spawn Point Wander,"Spawn Point (201.2 3.5 401.8)",1,0,99,"(201.2, 3.5, 401.8)"
Spawn Point Wander,"Spawn Point (-150.6 0.7 -63.4)",1,0,99,"(-150.6, 0.7, -63.4)"
Spawn Point Wander,"Spawn Point (-182.9 2.4 413.6)",1,0,99,"(-182.9, 2.4, 413.6)"
Spawn Point Wander,"Spawn Point (-152.3 0.7 -66.6)",1,0,99,"(-152.3, 0.7, -66.6)"
Spawn Point Wander,"Spawn Point (176.0 3.1 234.8)",1,0,99,"(176.0, 3.1, 234.8)"
Spawn Point Wander,"Spawn Point (-192.7 5.0 386.3)",1,0,99,"(-192.7, 5.0, 386.3)"
Spawn Point Wander,"Spawn Point (-50.9 0.7 -67.3)",1,0,99,"(-50.9, 0.7, -67.3)"
Spawn Point Wander,"Spawn Point (244.7 -5.4 28.7)",1,0,99,"(244.7, -5.4, 28.7)"
Spawn Point Wander,"Spawn Point (-235.2 2.8 345.1)",1,0,99,"(-235.2, 2.8, 345.1)"
Spawn Point Wander,"Spawn Point (99.4 2.8 446.8)",1,0,99,"(99.4, 2.8, 446.8)"
Spawn Point Wander,"Spawn Point (-15.8 2.6 232.6)",1,0,99,"(-15.8, 2.6, 232.6)"
Spawn Point Wander,"Spawn Point (-161.8 14.9 -4.3)",1,0,99,"(-161.8, 14.9, -4.3)"
Spawn Point Wander,"Spawn Point (155.8 3.6 428.6)",1,0,99,"(155.8, 3.6, 428.6)"
Spawn Point Wander,"Spawn Point (41.2 28.5 -20.7)",1,0,99,"(41.2, 28.5, -20.7)"
Spawn Point Wander,"Spawn Point (-24.7 21.2 228.1)",1,0,99,"(-24.7, 21.2, 228.1)"
Spawn Point Wander,"Spawn Point (-242.3 3.7 242.9)",1,0,99,"(-242.3, 3.7, 242.9)"
Spawn Point Wander,"Spawn Point (45.8 2.7 417.1)",1,0,99,"(45.8, 2.7, 417.1)"
Spawn Point Wander,"Spawn Point (167.7 -3.7 29.6)",1,0,99,"(167.7, -3.7, 29.6)"
Spawn Point Wander,"Spawn Point (157.0 3.6 430.8)",1,0,99,"(157.0, 3.6, 430.8)"
Spawn Point Wander,"Spawn Point (186.5 1.6 188.4)",1,0,99,"(186.5, 1.6, 188.4)"
Spawn Point Wander,"Spawn Point (-106.4 0.7 -29.2)",1,0,99,"(-106.4, 0.7, -29.2)"
Spawn Point Wander,"Spawn Point (-232.0 2.2 342.5)",1,0,99,"(-232.0, 2.2, 342.5)"
Spawn Point Wander,"Spawn Point (195.2 1.2 221.3)",1,0,99,"(195.2, 1.2, 221.3)"
Spawn Point Wander,"Spawn Point (172.9 0.5 154.8)",1,0,99,"(172.9, 0.5, 154.8)"
Spawn Point Wander,"Spawn Point (-243.1 3.4 240.6)",1,0,99,"(-243.1, 3.4, 240.6)"
Spawn Point Wander,"Spawn Point (204.5 4.1 297.9)",1,0,99,"(204.5, 4.1, 297.9)"
Spawn Point Wander,"Spawn Point (144.9 -1.4 -42.8)",1,0,99,"(144.9, -1.4, -42.8)"
Spawn Point Wander,"Spawn Point (-180.5 2.5 419.1)",1,0,99,"(-180.5, 2.5, 419.1)"
Spawn Point Wander,"Spawn Point (243.6 -5.4 29.3)",1,0,99,"(243.6, -5.4, 29.3)"
Spawn Point Wander,"Spawn Point (227.6 3.4 410.7)",1,0,99,"(227.6, 3.4, 410.7)"
Spawn Point Wander,"Spawn Point (-152.8 9.7 -26.9)",1,0,99,"(-152.8, 9.7, -26.9)"
Spawn Point Wander,"Spawn Point (-155.7 0.7 -22.8)",1,0,99,"(-155.7, 0.7, -22.8)"
Spawn Point Wander,"Spawn Point (-150.6 9.6 -23.6)",1,0,99,"(-150.6, 9.6, -23.6)"
Spawn Point Wander,"Spawn Point (78.0 2.8 286.2)",1,0,99,"(78.0, 2.8, 286.2)"
Spawn Point Wander,"Spawn Point (231.3 3.5 410.4)",1,0,99,"(231.3, 3.5, 410.4)"
Spawn Point Wander,"Spawn Point (-254.0 3.1 125.4)",1,0,99,"(-254.0, 3.1, 125.4)"
Spawn Point Wander,"Spawn Point (-47.7 0.7 -65.5)",1,0,99,"(-47.7, 0.7, -65.5)"
Spawn Point Wander,"Spawn Point (44.5 2.7 414.9)",1,0,99,"(44.5, 2.7, 414.9)"
Spawn Point Wander,"Spawn Point (244.7 -3.2 -37.0)",1,0,99,"(244.7, -3.2, -37.0)"
Spawn Point Wander,"Spawn Point (170.0 -3.7 30.1)",1,0,99,"(170.0, -3.7, 30.1)"
Spawn Point Wander,"Spawn Point (-123.6 5.1 -31.5)",1,0,99,"(-123.6, 5.1, -31.5)"
Spawn Point Wander,"Spawn Point (-234.3 2.2 342.1)",1,0,99,"(-234.3, 2.2, 342.1)"
Spawn Point Wander,"Spawn Point (200.8 3.5 405.0)",1,0,99,"(200.8, 3.5, 405.0)"
Spawn Point Wander,"Spawn Point (258.0 -1.2 357.1)",1,0,99,"(258.0, -1.2, 357.1)"
Spawn Point Wander,"Spawn Point (175.7 3.2 236.7)",1,0,99,"(175.7, 3.2, 236.7)"
Spawn Point Wander,"Spawn Point (144.6 3.5 357.9)",1,0,99,"(144.6, 3.5, 357.9)"
Spawn Point Wander,"Spawn Point (-48.5 0.7 -67.7)",1,0,99,"(-48.5, 0.7, -67.7)"
Spawn Point Wander,"Spawn Point (179.1 3.0 233.0)",1,0,99,"(179.1, 3.0, 233.0)"
Spawn Point Wander,"Spawn Point (-226.6 5.3 279.1)",1,0,99,"(-226.6, 5.3, 279.1)"
Spawn Point Wander,"Spawn Point (-80.2 0.9 74.1)",1,0,99,"(-80.2, 0.9, 74.1)"
Spawn Point Wander,"Spawn Point (-29.7 5.2 -64.8)",1,0,99,"(-29.7, 5.2, -64.8)"
Spawn Point Wander,"Spawn Point (211.9 -0.3 343.2)",1,0,99,"(211.9, -0.3, 343.2)"
Spawn Point Wander,"Spawn Point (-51.0 5.2 -29.6)",1,0,99,"(-51.0, 5.2, -29.6)"
Spawn Point Wander,"Spawn Point (272.0 -1.2 375.4)",1,0,99,"(272.0, -1.2, 375.4)"
Spawn Point Wander,"Spawn Point (-46.1 0.6 -67.7)",1,0,99,"(-46.1, 0.6, -67.7)"
Spawn Point Wander,"Spawn Point (257.3 -5.9 51.0)",1,0,99,"(257.3, -5.9, 51.0)"
Spawn Point Wander,"Spawn Point (-52.3 -0.2 386.3)",1,0,99,"(-52.3, -0.2, 386.3)"
Spawn Point Wander,"Spawn Point (-100.4 2.3 268.5)",1,0,99,"(-100.4, 2.3, 268.5)"
Spawn Point Wander,"Spawn Point (76.0 -0.6 88.5)",1,0,99,"(76.0, -0.6, 88.5)"
Spawn Point Wander,"Spawn Point (114.5 0.9 189.1)",1,0,99,"(114.5, 0.9, 189.1)"
Spawn Point Wander,"Spawn Point (-188.9 3.1 340.4)",1,0,99,"(-188.9, 3.1, 340.4)"
Spawn Point Wander,"Spawn Point (-176.3 1.2 106.9)",1,0,99,"(-176.3, 1.2, 106.9)"
Spawn Point Wander,"Spawn Point (209.4 4.1 298.7)",1,0,99,"(209.4, 4.1, 298.7)"
Spawn Point Wander,"Spawn Point (205.6 3.9 296.4)",1,0,99,"(205.6, 3.9, 296.4)"
Spawn Point Wander,"Spawn Point (44.8 0.3 -36.9)",1,0,99,"(44.8, 0.3, -36.9)"
Spawn Point Wander,"Spawn Point (212.7 -1.2 350.1)",1,0,99,"(212.7, -1.2, 350.1)"
Spawn Point Wander,"Spawn Point (-147.5 0.1 -67.4)",1,0,99,"(-147.5, 0.1, -67.4)"
Spawn Point Wander,"Spawn Point (-135.8 2.3 401.5)",1,0,99,"(-135.8, 2.3, 401.5)"
Spawn Point Wander,"Spawn Point (-72.0 1.5 154.8)",1,0,99,"(-72.0, 1.5, 154.8)"
Spawn Point Wander,"Spawn Point (143.0 3.5 359.7)",1,0,99,"(143.0, 3.5, 359.7)"
Spawn Point Wander,"Spawn Point (206.2 6.9 299.3)",1,0,99,"(206.2, 6.9, 299.3)"
Spawn Point Wander,"Spawn Point (271.0 3.5 371.2)",1,0,99,"(271.0, 3.5, 371.2)"
Spawn Point Wander,"Spawn Point (89.8 2.7 314.9)",1,0,99,"(89.8, 2.7, 314.9)"
Spawn Point Wander,"Spawn Point (209.8 3.9 297.3)",1,0,99,"(209.8, 3.9, 297.3)"
Spawn Point Wander,"Spawn Point (258.6 -5.9 48.8)",1,0,99,"(258.6, -5.9, 48.8)"
Spawn Point Wander,"Spawn Point (212.0 0.4 345.3)",1,0,99,"(212.0, 0.4, 345.3)"
Spawn Point Wander,"Spawn Point (271.8 3.5 369.5)",1,0,99,"(271.8, 3.5, 369.5)"
Spawn Point Wander,"Spawn Point (-134.4 2.5 395.9)",1,0,99,"(-134.4, 2.5, 395.9)"
Spawn Point Wander,"Spawn Point (-69.3 1.5 156.1)",1,0,99,"(-69.3, 1.5, 156.1)"
Spawn Point Wander,"Spawn Point (142.4 3.5 361.6)",1,0,99,"(142.4, 3.5, 361.6)"
Spawn Point Wander,"Spawn Point (-158.0 9.7 -26.7)",1,0,99,"(-158.0, 9.7, -26.7)"
Spawn Point Wander,"Spawn Point (-195.4 5.0 384.7)",1,0,99,"(-195.4, 5.0, 384.7)"
Spawn Point Wander,"Spawn Point (-1.2 -3.7 -4.2)",1,0,99,"(-1.2, -3.7, -4.2)"
Spawn Point Wander,"Spawn Point (177.3 3.1 234.8)",1,0,99,"(177.3, 3.1, 234.8)"
Spawn Point Wander,"Spawn Point (81.4 2.8 297.4)",1,0,99,"(81.4, 2.8, 297.4)"
Spawn Point Wander,"Spawn Point (224.4 0.5 220.0)",1,0,99,"(224.4, 0.5, 220.0)"
Spawn Point Wander,"Spawn Point (-162.0 2.3 289.5)",1,0,99,"(-162.0, 2.3, 289.5)"
Spawn Point Wander,"Spawn Point (251.7 -1.1 148.4)",1,0,99,"(251.7, -1.1, 148.4)"
Spawn Point Wander,"Spawn Point (-161.7 3.2 180.7)",1,0,99,"(-161.7, 3.2, 180.7)"
Spawn Point Wander,"Spawn Point (211.0 0.5 346.1)",1,0,99,"(211.0, 0.5, 346.1)"
Spawn Point Wander,"Spawn Point (-225.6 5.2 282.2)",1,0,99,"(-225.6, 5.2, 282.2)"
Spawn Point Wander,"Spawn Point (-243.1 3.7 243.5)",1,0,99,"(-243.1, 3.7, 243.5)"
Spawn Point Wander,"Spawn Point (89.3 35.0 101.3)",1,0,99,"(89.3, 35.0, 101.3)"
Spawn Point Wander,"Spawn Point (-84.9 1.5 175.6)",1,0,99,"(-84.9, 1.5, 175.6)"
Spawn Point Wander,"Spawn Point (-162.8 3.2 178.0)",1,0,99,"(-162.8, 3.2, 178.0)"
Spawn Point Wander,"Spawn Point (-178.0 1.2 107.9)",1,0,99,"(-178.0, 1.2, 107.9)"
Spawn Point Wander,"Spawn Point (251.6 -1.1 145.4)",1,0,99,"(251.6, -1.1, 145.4)"
Spawn Point Wander,"Spawn Point (-77.4 0.9 75.0)",1,0,99,"(-77.4, 0.9, 75.0)"
Spawn Point Wander,"Spawn Point (207.8 3.5 404.6)",1,0,99,"(207.8, 3.5, 404.6)"
Spawn Point Wander,"Spawn Point (173.4 -1.2 57.7)",1,0,99,"(173.4, -1.2, 57.7)"
Spawn Point Wander,"Spawn Point (158.3 3.6 428.5)",1,0,99,"(158.3, 3.6, 428.5)"
Spawn Point Wander,"Spawn Point (-155.8 9.7 -26.9)",1,0,99,"(-155.8, 9.7, -26.9)"
Spawn Point Wander,"Spawn Point (244.9 -3.2 -40.1)",1,0,99,"(244.9, -3.2, -40.1)"
Spawn Point Wander,"Spawn Point (-93.9 0.9 86.9)",1,0,99,"(-93.9, 0.9, 86.9)"
Spawn Point Wander,"Spawn Point (-52.4 0.7 -66.4)",1,0,99,"(-52.4, 0.7, -66.4)"
Spawn Point Wander,"Spawn Point (-135.4 2.5 399.7)",1,0,99,"(-135.4, 2.5, 399.7)"
Spawn Point Wander,"Spawn Point (-206.3 3.4 181.0)",1,0,99,"(-206.3, 3.4, 181.0)"
Spawn Point Wander,"Spawn Point (-190.1 3.1 338.1)",1,0,99,"(-190.1, 3.1, 338.1)"
Spawn Point Wander,"Spawn Point (-16.7 2.7 238.5)",1,0,99,"(-16.7, 2.7, 238.5)"
Spawn Point Wander,"Spawn Point (165.5 -1.3 106.8)",1,0,99,"(165.5, -1.3, 106.8)"
Spawn Point Wander,"Spawn Point (-87.7 1.5 178.3)",1,0,99,"(-87.7, 1.5, 178.3)"
Spawn Point Wander,"Spawn Point (245.0 -3.2 -38.6)",1,0,99,"(245.0, -3.2, -38.6)"
Spawn Point Wander,"Spawn Point (173.8 -1.2 56.3)",1,0,99,"(173.8, -1.2, 56.3)"
Spawn Point Wander,"Spawn Point (-227.3 5.2 282.5)",1,0,99,"(-227.3, 5.2, 282.5)"
Spawn Point Wander,"Spawn Point (38.5 0.1 -46.8)",1,0,99,"(38.5, 0.1, -46.8)"
Spawn Point Wander,"Spawn Point (-136.1 0.1 -71.3)",1,0,99,"(-136.1, 0.1, -71.3)"
